0.00000000,2.20000000,4.65000000,0.00000000
0.20103788,2.30080991,4.65682358,0.02703382
0.40207577,2.40161981,4.66364717,0.05406764
0.60311365,2.50242972,4.67047075,0.08110147
0.80415154,2.60323962,4.67729434,0.10813529
1.00518942,2.70404953,4.68411792,0.13516911
1.21350428,2.95379822,4.72321862,0.14612177
1.42181913,3.20354691,4.76231932,0.15707443
1.58164848,3.45322865,4.80186369,0.15707443
1.74147783,3.70291039,4.84140806,0.15707443
1.87621398,3.95259213,4.88095243,0.15707443
2.01095013,4.20227387,4.92049680,0.15707443
2.24835402,4.70163735,4.99958554,0.15707443
2.46298014,5.20100083,5.07867428,0.15707443
2.66672373,5.70036431,5.15776302,0.15707443
2.86895881,6.19972779,5.23685176,0.15707443
3.07119389,6.69909128,5.31594050,0.15707443
3.27342896,7.19845476,5.39502925,0.15707443
3.47566404,7.69781824,5.47411799,0.15707443
3.67789912,8.19718172,5.55320673,0.15707443
3.88013419,8.69654520,5.63229547,0.15707443
4.08236927,9.19590868,5.71138421,0.15707443
4.28612155,9.69527216,5.79047295,0.15707443
4.50076789,10.19463564,5.86956169,0.15707443
4.73819916,10.69399912,5.94865043,0.15707443
4.87295538,10.94368086,5.98819480,0.15707443
5.00771159,11.19336260,6.02773917,0.15707443
5.16752453,11.44215624,6.07212909,0.19336811
5.32733747,11.69094988,6.11651901,0.22966178
5.53551901,11.93247390,6.19050304,0.29724634
5.74370056,12.17399792,6.26448708,0.36483089
5.94473844,12.26573834,6.30682966,0.39186471
6.14577633,12.35747875,6.34917225,0.41889853
6.34681421,12.44921917,6.39151483,0.44593236
6.54785209,12.54095958,6.43385742,0.47296618
6.74888998,12.63270000,6.47620000,0.50000000
6.95384863,12.54429767,6.41950561,0.52810029
7.15880727,12.45589535,6.36281123,0.55620057
7.36376592,12.36749302,6.30611684,0.58430086
7.56872456,12.27909069,6.24942246,0.61240114
7.77368321,12.19068836,6.19272807,0.64050143
7.98592484,11.99170901,6.02143921,0.71075214
8.19816647,11.79272965,5.85015036,0.78100285
8.36102520,11.61969829,5.65268441,0.85125357
8.52388392,11.44666692,5.45521845,0.92150428
8.66793661,11.30299368,5.23546711,0.99175499
8.81198929,11.15932043,5.01571576,1.06200571
8.95237518,11.04783686,4.77800991,1.13225642
9.09276107,10.93635328,4.54030407,1.20250713
9.23314696,10.85925651,4.28932849,1.27275785
9.37353285,10.78215974,4.03835290,1.34300856
9.51391873,10.74096921,3.77905386,1.41325927
9.65430462,10.69977868,3.51975481,1.48350999
9.79480601,10.67854548,3.25784782,1.48678205
9.93530739,10.65731227,2.99594082,1.49005410
10.07945393,10.63611898,2.73403051,1.49005410
10.22360047,10.61492568,2.47212021,1.49005410
10.38653808,10.59373239,2.21020990,1.49005410
10.54947570,10.57253909,1.94829959,1.49005410
10.76183147,10.55134579,1.68638928,1.49005410
10.97418724,10.53015250,1.42447897,1.49005410
11.17919358,10.52412200,1.31958317,1.50624328
11.38419992,10.51809150,1.21468738,1.52243246
11.58920626,10.51206100,1.10979159,1.53862164
11.79421260,10.50603050,1.00489579,1.55481082
11.99921894,10.50000000,0.90000000,1.57100000
